№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
6221,27/02 17:00,Бешикташ Афьонкарахисар Блд.,+1.5 –1.5,1.93 1.85  ,157.5,1.92,1.85  ,2.09,13.8,1.79  ,78.5 79.5,1.93 1.93,1.81 1.81  
 ,1-я четв.:,+0.5 –0.5,1.83 1.91,39.5,1.89,1.85,2.01,13.2,1.91, 
 ,2-я четв.:,+0.5 –0.5,1.82 1.92,38.5,1.92,1.82,1.98,14.7,1.92, 
 ,3-я четв.:,+0.5 –0.5,1.82 1.92,37.5,1.77,1.97,1.98,14.4,1.92, 
 ,4-я четв.:,+0.5 –0.5,1.81 1.94,39.5,1.83,1.91,1.97,13.9,1.94, 
 ,Первая половина:,+0.5 –0.5,1.88 1.86,77.5,1.83,1.91,1.99,18.1,1.86, 
6413,27/02 19:15,Пинар Газиантеп,–13.5 +13.5,1.94 1.84  ,158.5,1.89,1.89  ,1.09,22.7,6.89  ,85.5 72.5,1.82 1.84,1.92 1.90  
 ,1-я четв.:,–3.5 +3.5,1.78 1.97,39.5,1.81,1.93,1.33,15.3,3.44, 
 ,2-я четв.:,–3.5 +3.5,1.88 1.86,38.5,1.85,1.89,1.41,16.1,2.96, 
 ,3-я четв.:,–3.5 +3.5,1.90 1.84,38.5,1.86,1.88,1.41,15.8,2.95, 
 ,4-я четв.:,–2.5 +2.5,1.89 1.85,40.5,1.90,1.84,1.51,14.6,2.63, 
 ,Первая половина:,–7.5 +7.5,1.89 1.85,78.5,1.86,1.88,1.20,23.3,4.23, 
