№,Дата,Событие,П1,X,П2
2009,31/12 23:59,Флойд Мейвезер Хабиб Нурмагомедов,1.05,45.0,10.0  
8647,31/12 23:59,Флойд Мейвезер Конор Макгрегор,1.15,35.0,5.00  
6424,31/12 23:59,Амир Хан Келл Брук,2.40,20.0,1.53  
6441,31/12 23:59,Андре Уорд Сауль Альварес,1.82,17.0,1.92  
6421,31/12 23:59,Билли Джо Сондерс Сауль Альварес,4.00,23.0,1.22  
6439,31/12 23:59,Геннадий Головкин Сауль Альварес,2.40,19.0,1.53  
6429,31/12 23:59,Деонтей Уайлдер Диллиан Уайт,1.45,20.0,2.75  
6430,31/12 23:59,Дерек Чизора Александр Усик,4.50,25.0,1.17  
6445,31/12 23:59,Каллум Смит  Сауль Альварес,2.75,19.0,1.44  
6428,31/12 23:59,Конор Бенн Джош Келли,3.50,21.0,1.30  
6154,31/12 23:59,Мэнни Пакьяо Майки Гарсия,1.62,19.0,2.30  
6409,31/12 23:59,Теофимо Лопез Василий Ломаченко,3.40,21.0,1.32  
6411,31/12 23:59,Флойд Мейвезер Мэнни Пакьяо,1.45,20.0,2.75  
6159,31/12 23:59,Энтони Джошуа Александр Усик,1.50,19.0,2.60  
6436,31/12 23:59,Энтони Джошуа Деонтей Уайлдер,1.92,17.0,1.82  
6437,31/12 23:59,Энтони Джошуа Тайсон Фьюри,2.30,19.0,1.57  
6406,31/12 23:59,Эррол Спенс мл. Теренс Кроуфорд,1.72,19.0,2.10  
