№,Дата,Событие,Фора,КФ,П1,П2
9519,01/03 00:00,FlyQuest Cloud9," ",4.00,1.22  
 ,1-я карта:,+8.5 –8.5,1.85 1.90, , 
9808,01/03 01:00,Liquid TSM," ",1.70,2.08  
 ,1-я карта:,–3.5 +3.5,1.87 1.87, , 
9809,01/03 02:00,Golden Guardians Immortals," ",2.11,1.68  
 ,1-я карта:,+3.5 –3.5,1.82 1.92, , 
9810,01/03 03:00,100 Thieves Evil Geniuses ," ",2.08,1.70  
 ,1-я карта:,+3.5 –3.5,1.87 1.87, , 
9811,01/03 22:00,100 Thieves Liquid," ",2.75,1.42  
 ,1-я карта:,+5.5 –5.5,1.95 1.80, , 
9812,01/03 23:00,FlyQuest Dignitas," ",1.75,2.01  
 ,1-я карта:,–4.5 +4.5,2.00 1.76, , 
9823,02/03 00:00,CLG TSM," ",4.50,1.18  
 ,1-я карта:,+8.5 –8.5,1.82 1.92, , 
9824,02/03 01:00,Golden Guardians Evil Geniuses ," ",2.42,1.52  
 ,1-я карта:,+5.5 –5.5,1.76 2.00, , 
9825,03/03 03:30,Dignitas Cloud9," ",4.20,1.20  
 ,1-я карта:,+7.5 –7.5,1.76 2.00, , 
9826,03/03 04:30,CLG Immortals," ",2.65,1.44  
 ,1-я карта:,+5.5 –5.5,1.87 1.87, , 
