№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2
6011,27/02 21:45,Халл Кингстон Роверс Каслфорд Тайгерз,+11.5 –11.5,1.93 1.81  ,38.5,1.86,1.88  ,4.05,22.6,1.27  ,3.55, ,1.22  
 ,1-й тайм:,+5.5 –5.5,1.99 1.76, ,3.25,11.3,1.40,2.50, ,1.25, 
 , ,+2.5 –2.5,2.32 1.57, , , , 
 , ,+8.5 –8.5,1.54 2.37, , , , 
9367,28/02 21:45,Лидс Ринос Уоррингтон Вулвз,+3.5 –3.5,1.92 1.82  ," ",2.43,19.8,1.61  ,2.23, ,1.52  
 ,1-й тайм:,+2.5 –2.5,1.79 1.95, ,2.42,10.7,1.69,1.93, ,1.44, 
3184,29/02 20:00,Торонто Вулфпэк Сент-Хеленс,+16.5 –16.5,1.84 1.90  ," ",6.27,25.5,1.13  ,5.40, ,1.10  
 ,1-й тайм:,+7.5 –7.5,1.92 1.82, ,3.91,12.0,1.30,2.90, ,1.17, 
6634,01/03 17:00,Солфорд Ред Девилз Уэйкфилд Тринити,–2.5 +2.5,1.91 1.83  ," ",1.65,21.0,2.34  ,1.55, ,2.15  
 ,1-й тайм:,–1.5 +1.5,1.82 1.92, ,1.77,10.8,2.21,1.52, ,1.83, 
6635,01/03 17:00,Хаддерсфилд Джайнтс Уиган Уорриорз,+3.5 –3.5,1.93 1.81  ," ",2.43,20.6,1.61  ,2.23, ,1.52  
 ,1-й тайм:,+2.5 –2.5,1.80 1.95, ,2.42,10.7,1.69,1.93, ,1.44, 
6752,01/03 17:00,Халл ФК Каталанс Дрэгонс,–6.5 +6.5,1.93 1.82  ," ",1.49,20.8,2.77  ,1.41, ,2.50  
 ,1-й тайм:,–3.5 +3.5,1.82 1.92, ,1.62,10.7,2.59,1.38, ,2.03, 
