№,Дата,Событие,П1,П2
643,27/02 20:45,Айван Юэн Матьё Кастанье,5.23,1.14  
103,27/02 20:45,Масотти Баптист Николас Мюллер,1.54,2.38  
163,27/02 20:45,Рамит Тандон Омар Мосаад,8.11,1.06  
515,27/02 20:45,Сезар Салазар Викрам Малхотра,1.16,4.76  
125,27/02 22:30,Борха Голан Тейяб Аслам,1.52,2.43  
123,27/02 22:30,Дерил Селби Лука Серм,1.49,2.52  
517,27/02 22:30,Мохамед Эль-Шербини Мазен Хешам,4.14,1.21  
257,27/02 22:30,Юссеф Солиман Мостафа Асаль,3.06,1.34  
3702,28/02 01:45,Икер Пахарес Бернабеу Алан Клайн,1.32,3.19  
3092,28/02 01:45,Макс Ли Грег Лоббан,5.09,1.14  
3352,28/02 01:45,Шажахан Хан Лео Ау,5.97,1.11  
3595,28/02 01:45,Эдриан Уоллер Еаин Йов Нг,1.76,1.99  
3762,28/02 03:30,Абдулла Аль-Тамими Том Ричардс,1.78,1.97  
3319,28/02 03:30,Артуро Салазар Кэмпбелл Грейсон,4.02,1.22  
3270,28/02 03:30,Деклан Джеймс Ип Тц Фун,1.23,3.87  
3532,28/02 03:30,Рафаэль Кандра Эдмон Лопес,1.16,4.88  
