№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
6081,27/02 15:35,Григелис Лауринас Фатич Нерман,–3.5 +3.5,1.70 2.03  ,20.5,1.80,1.91  ,1.35,2.94  ,1.96,3.50,5.50,4.76  ,12.5 10.5,1.96 1.85,1.75 1.85  
 ,1-й сет:,–1.5 +1.5,1.61 2.17,9.5,2.03,1.70,1.45,2.58, 
 ,2-й сет:, , ,1.45,2.55, 
6080,27/02 15:45,Эрлер Александер Мазур Даниель," "," ",4.62,1.16  ," "," "
4057,27/02 17:05,Бега Алессандро Вельдхеер Мик,–4.5 +4.5,1.94 1.77  ,20.5,1.85,1.85  ,1.32,3.11  ,1.88,3.50,5.70,5.08  ,12.5 9.5,1.99 1.79,1.73 1.92  
 ,1-й сет:,–2.5 +2.5,2.26 1.57,9.5,2.09,1.66,1.41,2.68, 
 ,2-й сет:, , ,1.42,2.65, 
3603,27/02 18:35,Дубривный Артем Форти Франческо,+2.5 –2.5,1.86 1.84  ,21.5,1.87,1.83  ,2.24,1.58  ,3.54,4.60,3.70,2.40  ,11.5 12.5,1.65 2.02,2.11 1.71  
 ,1-й сет:,+1.5 –1.5,1.84 1.86,9.5,1.96,1.75,2.12,1.64, 
 ,2-й сет:, , ,2.11,1.65, 
