№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
2609,27/02 14:00,Аравиндх Читамбарам Сюгиров Санан,0 0,1.85 1.89  ,4.55,1.55,4.65  ,1.17,2.35,1.18  
2615,27/02 14:00,Артемьев Владислав Антипов Михаил,0 0,1.11 5.93  ," "," "
2618,27/02 14:00,Дяк Богдан-Даниел Идани Пайя,0 0,1.30 3.30  ,3.20,1.55,8.10  ,1.06,2.35,1.32  
2619,27/02 14:00,Йилмаз Мустафа Адхибан Баскаран,0 0,1.82 1.92  ,4.70,1.50,4.95  ,1.15,2.48,1.17  
2622,27/02 14:00,Паравян Давид Петросян Мануэль,0 0,1.30 3.30  ,3.20,1.55,8.10  ,1.06,2.35,1.32  
2623,27/02 14:00,Рахманов Александр Смирин Илья,0 0,1.32 3.18  ,3.25,1.55,7.80  ,1.06,2.35,1.31  
2629,27/02 14:00,Сетураман С.П. Сване Расмус,0 0,1.32 3.21  ,2.85,1.70,7.00  ,1.08,2.08,1.39  
2630,27/02 14:00,Чжоу Цзяньчао Асадли Вугар,0 0,1.16 4.82  ,2.60,1.65,11.00  ,1.02,2.15,1.47  
2631,27/02 14:00,Шиманов Александр Джумабаев Ринат,0 0,1.89 1.85  ,3.85,1.80,3.75  ,1.25,1.95,1.23  
